N,Nom_ZC,Perte annuelle (ha) (2001-2024),,BABAMA,MOLOKAY,SALATE,EBIANE,MAMOPI,EPULU,EBOYO_BAPUKELI,BADENGAIDO,SETI_UTAMA___ZUNGULUKA,COMBONI,BANDISENDE,EKWE,AKOKORA,BUKULANI,NDUYE,MALEMBI,BAMARO,DINGBO,NZARO,ALAMBI,UEKOMBA,BUNGU,BABESUA,ANDAGUKODU,APANA,AMBANZANI,FIOWE,MASTINGA,BEDEGAO,,
11.0,BANDISENDE,1733.4578936423,2011.0,12.958257307,26.0717033243,7.7594355132,0.8535379064,0.2327830654,18.6226452316,2.7158024296,92.8804430926,37.1676961081,27.7787791371,62.8514276567,18.1570791008,5.9747653451,6.8283032516,10.2424548774,75.6544962534,8.9233508401,40.1162816031,16.4500032879,7.216275027200001,2.6382080745,10.4752379428,20.0969379791,37.4004791735,14.3549556994,57.9629832834,17.69151297,13.0358516621,16.2172202225,,
12.0,EKWE,599.804365168,2012.0,4.1900951771,5.6643879246,1.784670168,3.4917459809,0.3879717757,3.8021234015,0.1551887103,53.38491633059999,24.3646275114,7.914624223400001,38.0212340145,5.509199214400001,1.784670168,5.7419822797,5.6643879246,6.9058976067,2.5606137193,4.4228782425,1.6294814578,3.0261798501,0.1551887103,5.354010504100001,4.8108500182,12.3375024659,2.5606137193,35.6934033606,1.3966983924,0.7759435513,3.4917459809,,
13.0,AKOKORA,255.9837775793,2013.0,9.6992943915,25.4509484832,19.7089662035,8.5353790645,0.3103774205,4.1900951771,7.061086317,13.1134460173,39.9610928928,9.3113226158,29.7962323706,29.7962323706,4.112500822,5.276416149,6.5955201862,27.5459960718,4.112500822,4.8108500182,5.509199214400001,1.163915327,1.8622645232,3.4141516258,5.198821793800001,27.080429941,3.6469346912,7.526652447800001,1.0087266167,6.362737120799999,8.225001644,,
14.0,BUKULANI,564.1109618074,2014.0,20.0969379791,15.1308992507,15.2860879609,4.6556613079,1.0087266167,20.7952871753,5.5867935695,48.9620380881,74.5681752816,25.5285428383,91.94931083110001,32.5896291553,11.4839645595,29.8738267257,16.4500032879,22.4247686331,9.8544831017,7.2938693824,1.3966983924,6.0523597003,2.327830654,7.8370298683,20.4849097548,30.9601476975,4.112500822,38.0988283697,9.388916970899999,22.5799573433,7.4490580926,,
15.0,NDUYE,309.5238826203,2015.0,15.2860879609,16.9155694187,4.112500822,7.061086317,4.3452838874,20.1745323342,5.4316048592,78.7582704587,58.4285494142,13.1910403724,64.6360978247,32.6672235104,6.2851427657,21.183258951,5.89717099,29.7962323706,5.7419822797,7.7594355132,0.8535379064,1.7070758129,0.5431604859,8.4577847094,22.0367968574,42.98727274300001,6.517925831099999,0.3103774205,15.8292484469,12.0271250454,4.3452838874,,
16.0,MALEMBI,556.8946867804001,2016.0,11.8719363352,35.0726485195,13.3462290827,15.4412766712,3.4917459809,45.5478864623,6.7507088965,171.0955530654,50.669113901,24.131844446,66.2655792825,73.1714768892,14.1997669891,28.0891565577,22.8903347639,20.9504758856,16.8379750636,19.9417492688,3.0261798501,3.8021234015,0.1551887103,7.061086317,19.7089662035,24.5198162216,9.7768887466,0.7759435513,24.9853823524,19.9417492688,25.4509484832,,
17.0,BAMARO,218.5832984058999,2017.0,14.8205218302,29.4082605949,14.742927475,4.0349064668,1.0863209718,40.4266590236,30.8825533424,218.3505153406,36.8573186876,27.3132130064,82.2500164396,31.6584968937,16.4500032879,17.4587299046,13.4238234378,42.444112257,20.4073153996,22.5023629882,1.4742927475,0.7759435513,0.3879717757,10.5528322979,39.7283098274,55.402369564,14.5877387648,0.3103774205,26.8476468756,49.3500098638,14.6653331199,,
18.0,DINGBO,295.6344930517001,2018.0,11.79434198,33.9863275477,26.9252412307,1.5518871026,0.5431604859,44.2287824251,10.1648605223,273.8304792598,45.0823203315,21.0280702407,82.5603938601,38.3316114351,12.958257307,23.3559008946,25.9941089691,16.6051919982,18.7778339419,12.4926911762,2.4054250091,7.371463737500001,1.7070758129,15.6740597366,30.9601476975,37.090101753,7.216275027200001,10.630426653,15.906842802,16.9931637738,9.0009451953,,
19.0,NZARO,99.5535576339,2019.0,12.4150968211,22.5799573433,11.173587139,9.9320774569,3.1813685604,27.4684017166,20.4073153996,235.3436791144,75.0337414124,31.0377420527,147.9724352362,25.916514614,17.8467016803,27.0028355858,6.8283032516,31.5033081835,17.3811355495,23.5110896049,7.8370298683,0.0,0.0,2.1726419437,24.8301936421,42.2113291916,8.3025959991,37.3228848183,22.8127404087,35.6158090055,25.4509484832,,
20.0,ALAMBI,107.778559278,2020.0,25.1405710627,19.1658057175,11.4839645595,5.5867935695,0.1551887103,17.3811355495,16.4500032879,290.2028881926,74.5681752816,24.752599287,109.3304463806,16.9155694187,7.914624223400001,40.659442089,14.0445782788,34.3742993233,6.517925831099999,14.4325500545,3.1813685604,3.1037742053,0.0,8.3801903542,26.3044863896,83.1035543461,14.9757105404,38.9523662761,17.8467016803,38.79717756580001,14.0445782788,,
