code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
12986,,,0af82ad5-e4d7-4d40-b994-eb18850da017,{8613580B-3E6F-4478-8703-D4C60C06CEF7},1078,DEVON RESOURCES,"Au, Diamant",111921940.82210481,51958.89459999651,Demande Approuvée,11033,PR (PP)
12987,,,fe2ef988-936b-4e1b-bb19-858236401f6a,{DDA80DB0-EA5A-4D6B-AA4C-85EBC54D0A78},1079,DEVON RESOURCES,"Au, Diamant",49934888.39097423,44536.04779999703,Nouvelle Demande,4923,PR (PP)
12988,,,00bfcc73-1f8e-47a8-8e3c-27162c4ab160,{190760E7-322A-4D8B-90C1-4BC56F0E99DF},1080,DEVON RESOURCES,"Au, Diamant",70604532.40767607,48247.761199995875,Demande Approuvée,6960,PR (PP)
12990,,,4cc3079d-5af5-430a-8bcb-03e7cab18906,{45666B74-299B-4178-B8E9-BDE0A161213A},1082,DEVON RESOURCES,"Au, Diamant",11191801.669527218,16700.19779999554,Demande Approuvée,1103,PR (PP)
12995,,,10d4c6fc-5eb1-4446-a802-d1af41875060,{4D4C164E-3D7E-4A28-851F-E43A32D2779C},1086,DEVON RESOURCES,"Au, Diamant",26693111.042712588,24126.90300000459,Nouvelle Demande,2631,PR (PP)
13000,,,dd07a389-305d-41bd-a9d6-948143499d22,{09C61FA7-06D1-4648-AADA-C6FCD4E6CF62},1091,GOLD DRAGON RESSOURCES RDC,"Au, Diamant, Nb-Ta, SnO2",155798297.26502186,72366.51460000128,Nouvelle Demande,15359,PR (PP)
13070,,,a90cfcad-8684-4947-bd2b-02a6a79b0221,{ECF154B4-6A05-44D9-ABD2-2C5BC485627A},1140,KATANGA MEGA MINING,"Au, Fe, Nb-Ta, Sn",246426033.02101657,64987.216800004244,Demande Approuvée,24293,PR (AS)
13071,,,f6851bcd-3982-479b-b3e2-50c9f0fbd83e,{AACA5A32-5D83-4909-B2E8-B5B3E7B14FFD},1141,KATANGA MEGA MINING,"Au, Fe, Nb-Ta, Sn",168884450.07519338,51982.23059999198,Demande Approuvée,16649,PR (AS)
13072,,,2b1bf19c-de34-434c-8b4a-5a7453d647b6,{F665DEA2-8B39-4C8A-8CDC-5066BA78E8EF},1142,KATANGA MEGA MINING,"Au, Fe, Nb-Ta, Sn",103385210.5586085,48251.188400000334,Demande Approuvée,10192,PR (AS)
137,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,a9382fb3-116e-44c3-8249-7244c3d4742c,{D6636AF1-DCE3-4340-B5DF-16F2B343BDF9},1202,KGL -SOMITURI,"Au, Diamant",30994946.088577706,22269.242600001395,Actif,3056,PE
140,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,2e2fbc3c-2c2a-48d0-b947-cb5967649dd2,{A59836E0-B5C5-4BBF-82A9-27ADF65EBD8D},1204,KGL -SOMITURI,"Au, Diamant",30993983.731305797,22268.896799996495,Actif,3055,PE
364,2023-08-19T00:00:00Z,2008-08-20T00:00:00Z,2f5ec257-e909-4455-9e38-7a1342e63122,{B5055494-E842-461B-8C57-E0D141C60DB6},1231,KALUBAMBA,Diamant,30986869.859446708,22266.340600006282,Droit Déchu,3055,PE
480,2023-08-19T00:00:00Z,2008-08-20T00:00:00Z,af38aeba-ec09-4bf0-8dd3-ec7c905d0c6a,{5A676C99-B118-4C00-A516-245D9B10A976},1282,KALUBAMBA,Au,17215170.8740033,20410.715999998152,Droit Déchu,1697,PE
4925,2036-09-19T00:00:00Z,2006-09-27T00:00:00Z,02496a17-5381-444c-a25f-3843d5522482,{78767EB0-639A-47C1-8E5C-64D2FDEF7410},1409,ITURI GOLD MINING COMPANY Sprl,Al,29264100.316037945,22265.8580000028,Actif-En Déchéance_NonPaiement,2885,PE
9691,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,c7f93262-0c42-451b-9aad-6d1dea6b1866,{76996A97-48A1-4D1A-879B-DAF1CD7ABCAA},1485,KGL -SOMITURI,"Au, Diamant",123976351.26091227,57526.08520000428,Actif,12222,PE
9692,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,2366375c-d3d3-4218-9da2-56a8fd7a4d56,{0BA59270-58BF-4B9E-9928-8B0BB2F5CB48},1486,KGL -SOMITURI,"Au, Diamant",86963938.8697793,53819.652800001204,Actif,8573,PE
9693,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,5dbeb3e8-cbd6-4cab-bfdb-36a5e5aad4b2,{5396B7DB-943F-4E47-B9A5-7FA0C6DE08AD},1487,KGL -SOMITURI,"Au, Diamant",123967260.35420418,55668.16259999573,Actif,12221,PE
9694,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,1e135070-97c4-42ec-9820-ef5ec1bae701,{9F1DFC8C-5847-4ADF-91E3-CE6A2F58072A},1488,KGL -SOMITURI,"Au, Diamant",123992719.67829257,55672.64860000461,Actif,12223,PE
9695,2039-02-22T00:00:00Z,2009-02-23T00:00:00Z,65a638f3-23a2-447c-9c48-ffea0bdc388c,{0975C193-35AB-4013-A462-A6055284BFCE},1489,KGL -SOMITURI,"Au, Diamant",61985078.16551386,40824.62760000676,Actif,6111,PE
11970,2041-06-02T00:00:00Z,2011-06-03T00:00:00Z,afa39839-58f1-4298-9539-763642058cea,{237AE565-6D56-4429-B4A5-7B8A51E7076E},1521,GOLD DRAGON RESSOURCES RDC,"Au, Diamant",27544758.675748322,22266.691599994898,Actif,2715,PE
11971,2041-06-02T00:00:00Z,2011-06-03T00:00:00Z,9f74b8a5-46d4-4ddf-9366-9d923acc2484,{E875576B-A284-4ACE-AA32-840132D407D0},1522,GOLD DRAGON RESSOURCES RDC,"Au, Diamant",30988568.594696958,22266.950999990106,Actif,3055,PE
139,2007-12-14T00:00:00Z,2007-04-10T00:00:00Z,f703bca5-7e79-4129-a850-9b70fa181c04,{8DAD4E39-B25B-4C35-9B8A-2F4BD5F5C9C8},1732,SOCIETE MINIERE DE L'ITURI,"Au, Diamant",30992031.74425146,22268.195399992168,Radiation en cours,3055,PR (PP)
145,2007-12-14T00:00:00Z,2007-04-10T00:00:00Z,39559cc2-27b7-40d2-bbcc-c6c2b2e1ef48,{4FDDAF78-B443-4E59-A481-EA85F6E1648D},1733,SOCIETE MINIERE DE L'ITURI,"Au, Diamant",30991413.36429374,22267.973200000823,Radiation en cours,3055,PR (PP)
