code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
4859,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,eceeeaae-1b39-4bfb-812b-d4a52b9503ad,{DD5D9140-992A-49D1-B994-4FDFB49C29CF},2838,Top Fric,Au,9469561.09324294,22267.799800001085,Radiation en cours,934,PR (AS)
4860,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,473958e4-c39f-4aed-8408-cf289e976c9e,{FDDF0BB0-2B08-4286-8326-FAF98333A9F4},2839,Top Fric,Au,30988781.2149349,22267.027399994433,Radiation en cours,3055,PR (AS)
4986,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,22acb3c5-30f6-401e-94a0-d00f9792db41,{6379C131-A084-4624-BFC3-228547041999},2853,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",13774950.452751009,22268.800199992955,Actif-En Force Majeure,1358,PR (AS)
4989,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,5e37c20e-5a25-4b04-9d5c-5379140360dc,{66C6659B-DFAB-4CBA-A466-2EBCB45D8C51},2856,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",15496559.11113975,16700.26739999652,Actif-En Force Majeure,1528,PR (PP)
5023,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,7db5cf23-9b78-426c-b894-6d7c816cbc4e,{54A5E0DD-E3B5-40DB-8910-73655A41A8DD},2890,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",25828172.649052907,20412.68600000441,Actif-En Force Majeure,2546,PR (PP)
5024,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,785cc3a0-7909-497f-8fd8-2a2b384bec6a,{AF916107-6420-4D8C-8BE2-CD283F74B1C2},2891,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",20662102.192118164,18556.382000006735,Actif-En Force Majeure,2037,PR (PP)
7266,2013-07-05T00:00:00Z,2011-07-06T00:00:00Z,cb58ee54-136e-420e-9396-f89d6b7ff5f2,{0ABEE3CE-92D0-487D-84FD-E07FCA5B5D67},3403,BUNIA ENGENEERING,"Au, Diamant, Nb, Ta",97271651.74979721,46387.51619999856,Actif-Transformation PR en PEPM,9589,PR (PP)
8348,2011-08-09T00:00:00Z,2007-08-10T00:00:00Z,a7fc84c1-5186-4c3e-bd65-6fa27d293335,{7B6DBA6A-F1E0-4A04-B5C2-DD8A509CC679},3738,MAADINI MINING,"Au, Diamant, Nb, SnO2, Ta",110176781.55687796,44534.659600004554,Demande PEPM Approuvée,10861,PR (PP)
8350,2011-08-09T00:00:00Z,2007-08-10T00:00:00Z,a9e80f3f-5289-4f3e-af10-dc145c9f5a3a,{E10C7275-9E7A-4A99-823A-FD669920FC00},3740,MAADINI MINING,"Au, Diamant, Nb, SnO2, Ta",85215416.6819922,63090.789200000465,Demande PEPM Approuvée,8401,PR (PP)
8853,2013-05-12T00:00:00Z,2008-05-13T00:00:00Z,dde83979-2bf1-41f4-aa5d-62f8b528d0a9,{352D9E2F-27A4-4492-A1BE-D7428C2299B6},3870,Alex Mutombo Tshibungubungu,Au,80915247.26864241,51952.217600002885,Radiation en cours,7977,PR (AS)
11268,2013-02-16T00:00:00Z,2009-02-17T00:00:00Z,f3f2dd92-e87c-4855-b09a-0d171b4a2a54,{2EDCE075-B396-46F0-8F47-DF38CB441E5D},4148,MANIEMA MUAKA TONY,"Au, Diamant",42193733.04244899,25982.68259999156,Radiation en cours,4160,PR (PP)
ZRG00538,,,6e4d4e65-6a92-48c5-ad0a-bd50cccc319a,{5C01BB25-7293-49DF-A692-F20355BAA42E},5058,Projet Recherches Géologiques,"Au, Diamant, Nb-Ta",292683240.8584605,79787.37579999864,Actif,28853,ZRG
ZRG01174,,,d16cd27a-3af1-4697-b315-6551fa210be3,{3C34247B-3829-44C9-B5BA-0F48722125A5},5645,Projet Recherches Géologiques,"Au, Diamant",371965561.00854206,77948.16040001065,Actif,36669,ZRG
ZRG01541,,,90f47f35-4f82-4c9a-b871-b97d053802e0,{4CF84F8C-07B7-4D24-AB66-DCBE6A1E1BEF},5995,Projet Recherches Géologiques, ,30988359.314100254,22266.87580000609,Actif,3055,ZRG
ZRG01555,,,6caddff0-3951-403b-b0d5-207e71f7217b,{3A41C523-F883-41E0-B1BA-7BB9749DF034},6008,Projet Recherches Géologiques,"Au, Diamant",39604657.64156526,25979.89959999174,Actif,3904,ZRG
ZRG01847,,,11f8d1be-48a5-41f7-bec9-58c0b21fcdf9,{4EDB9DF1-DF8F-4600-B336-78FADF9C3600},6301,Projet Recherches Géologiques,Au,247022514.8476237,68652.17499998957,Actif,24352,ZRG
ZRG01849,,,39953244-5e86-494d-bd7d-2fd446e5e0ca,{5175C9DA-C313-4B20-8B40-9B0D3D045436},6303,Projet Recherches Géologiques,Au,343589818.4147035,77948.22239999473,Actif,33872,ZRG
ZRG01985,,,4f9f4576-f696-4acd-bfdb-bc0e2eaeb6e7,{C49C6057-5215-4057-B834-0237EEA56241},6432,Projet Recherches Géologiques, ,120506366.49693711,85355.65540000051,Actif,11880,ZRG
ZRG01986,,,d2d927ed-4f4b-41eb-8e54-ac607b25c7c7,{CF6BEC2B-CB0B-446F-8F66-C95B0C242AEC},6433,Projet Recherches Géologiques, ,120506366.49693711,85355.65540000051,Actif,11880,ZRG
ZRG02093,,,a8aab4a7-0a06-4a7a-ba9b-c36759a8e2d1,{E521D04E-C65F-4F37-96E8-479859A705F2},6547,Projet Recherches Géologiques, ,189463828.12375674,57530.29060000181,Actif,18678,ZRG
ZRG02415,,,7c28daf6-5109-4eca-a906-ea8456b4d413,{14EFE8DE-8242-4393-89F2-6420F9EE2E0F},6870,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",301247162.5824283,107617.522,Actif,29697,ZRG
ZRG02418,,,65b7fe73-90b9-4e70-b534-4e495e2dd2eb,{6EA86F75-DA9A-4214-9226-97F2B820F4F6},6873,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",328810863.5054879,79789.28580000252,Actif,32415,ZRG
ZRG02424,,,3d159316-2ed0-45b5-be73-1aff79e870c7,{EA52999D-44D1-4E9C-BD17-804EC0AA88B1},6879,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",117055582.98166555,76074.79659999907,Actif,11539,ZRG
ZRG02425,,,6ab103ed-6879-4c73-b323-5ba4f1fa9da3,{A806ED14-3578-4623-8236-7F081B08E385},6880,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",225650059.12578785,124353.21720000356,Actif,22245,ZRG
ZRG02508,,,91560a9f-e95e-4c61-af99-a9230b294ad9,{79D2B367-FAF8-403F-B278-71EAB46B28B1},6962,Projet Recherches Géologiques,"Au, Diamant",252220180.01707113,70514.30099999905,Actif,24864,ZRG
